MBK	ACC	OVV	EGG
0.124716	-0.014232	62.517312	-0.001744
0.268073	-0.039362	96.469524	-0.002774
0.360798	-0.085176	125.054461	-0.002964
0.389600	-0.134725	145.116084	-0.003144
0.362092	-0.189872	155.863582	-0.004118
0.289599	-0.236216	163.848269	-0.004307
0.196268	-0.269279	166.562759	-0.005187
0.101848	-0.280112	160.938744	-0.007038
0.015445	-0.271271	149.664786	-0.008305
-0.048532	-0.257165	134.073585	-0.010372
-0.088633	-0.231383	117.507291	-0.010720
-0.100673	-0.202392	103.820171	-0.013406
-0.082847	-0.172996	95.695665	-0.015298
-0.041844	-0.139132	97.533249	-0.017704
0.024776	-0.109576	105.145308	-0.017291
0.108620	-0.072619	121.327826	-0.018815
0.196977	-0.024753	143.335972	-0.018526
0.281582	0.041456	165.464887	-0.017754
0.344418	0.139613	180.976608	-0.016687
0.379346	0.229893	190.113341	-0.017344
0.368727	0.292674	191.259752	-0.010693
0.320308	0.332188	174.273219	0.001517
0.221924	0.337112	142.444660	0.012285
0.080033	0.304563	96.857258	0.020258
-0.091565	0.227220	42.814404	0.025139
-0.270933	0.124773	-10.374127	0.025690
-0.434527	0.029151	-57.116600	0.026734
-0.560181	-0.052758	-89.534358	0.024561
-0.624495	-0.110898	-107.443436	0.020854
-0.611415	-0.125374	-102.879325	0.017371
-0.529426	-0.111549	-83.160051	0.013138
-0.388919	-0.072965	-51.177096	0.010105
-0.206840	-0.034313	-12.373501	0.006724
-0.016360	-0.005005	31.422959	0.002758
0.154933	0.000235	66.021253	0.001328
0.283243	-0.030632	97.014548	0.000743
0.358204	-0.076713	123.938823	0.000594
0.373885	-0.126585	141.311830	-0.001446
0.339661	-0.181425	155.453994	-0.002827
0.266118	-0.221359	161.457206	-0.002442
0.175279	-0.251572	162.957384	-0.004002
0.084132	-0.261098	154.803889	-0.005743
0.001384	-0.252942	143.030755	-0.007405
-0.056314	-0.236596	129.819145	-0.008276
-0.091761	-0.208725	111.178548	-0.009914
-0.101301	-0.179613	99.910362	-0.011228
-0.084410	-0.152714	93.842147	-0.013649
-0.040867	-0.120918	95.317884	-0.014587
0.028118	-0.092071	105.228157	-0.016152
0.112017	-0.053816	123.096919	-0.016459
0.203145	-0.003926	146.100877	-0.015243
0.283881	0.071088	166.471463	-0.014606
0.346989	0.173501	182.850458	-0.014330
0.378470	0.260409	191.090874	-0.013786
0.365650	0.317762	185.975310	-0.004144
0.305435	0.353439	166.343223	0.008527
0.200615	0.348723	131.595807	0.017965
0.048756	0.298532	80.362112	0.024223
-0.126267	0.206663	25.333047	0.028125
-0.313255	0.101140	-28.176983	0.029545
-0.475509	0.003694	-70.239655	0.027216
-0.594023	-0.077757	-100.861606	0.025084
-0.642692	-0.119917	-114.528851	0.022227
-0.613938	-0.122943	-101.839354	0.018797
-0.511746	-0.102928	-76.634025	0.015121
-0.351721	-0.058402	-39.287357	0.011574
-0.159578	-0.015693	1.146952	0.007932
0.037015	0.010058	40.000519	0.004029
0.205683	0.005831	75.122259	0.002433
0.324799	-0.030151	107.679483	0.002217
0.381572	-0.082306	130.781154	0.000493
0.380302	-0.140602	147.747067	-0.001268
0.327133	-0.196217	155.357486	-0.001329
0.246973	-0.234294	161.354771	-0.002347
0.151853	-0.262249	159.609558	-0.003692
0.061396	-0.265766	150.315111	-0.004242
-0.016972	-0.254395	139.914865	-0.006397
-0.072257	-0.233879	123.179199	-0.007160
-0.101555	-0.203134	106.710469	-0.008487
-0.100292	-0.174249	94.904956	-0.011006
-0.072141	-0.144239	93.060874	-0.012847
-0.018214	-0.112134	96.753085	-0.015096
