MBK	ACC	OVV	EGG
-0.314475	0.005700	48.400590	-0.012751
-0.207416	-0.088899	94.922152	-0.080327
-0.076873	-0.068778	97.111940	-0.059284
0.014825	-0.106989	126.618291	-0.073886
0.130476	-0.107076	155.885795	-0.067181
0.235330	-0.111494	182.135081	-0.072695
0.289064	-0.084422	181.244684	-0.070538
0.296032	-0.058788	186.622793	-0.074786
0.284082	-0.013342	176.368987	-0.071320
0.234450	0.022161	169.809078	-0.076571
0.120572	0.063923	153.246041	-0.071877
0.011290	0.101580	140.289737	-0.072937
-0.061207	0.185449	119.225975	-0.065154
-0.151315	0.319728	101.511881	-0.065300
-0.214329	0.476739	85.735438	0.014425
-0.252679	0.566923	65.545986	0.106365
-0.309112	0.506513	5.593360	0.119545
-0.448648	0.321026	-53.101226	0.123583
-0.560138	0.134205	-87.013934	0.120790
-0.595787	-0.017267	-72.582414	0.115286
-0.502965	-0.142664	-3.527743	0.106855
-0.232908	-0.214016	11.922704	0.093297
-0.109031	-0.180542	16.828192	0.079480
0.012219	-0.081076	62.005718	0.069172
0.266779	0.005938	99.203882	0.059157
0.414071	0.026083	129.199448	0.049198
0.487362	-0.007776	153.282461	0.038964
0.556405	-0.067484	158.748016	0.029350
0.544193	-0.136947	148.548603	0.019749
0.420569	-0.223569	128.615387	0.009267
0.245333	-0.298333	143.304995	-0.003041
0.133074	-0.328544	120.347060	-0.011362
-0.019090	-0.303921	80.738096	-0.022179
-0.176233	-0.251771	70.953238	-0.032560
-0.227644	-0.186615	60.319826	-0.038548
-0.283545	-0.128337	57.121820	-0.050864
-0.333439	-0.085400	68.536958	-0.060527
-0.273946	-0.066092	77.646457	-0.065541
-0.147463	-0.064141	95.040464	-0.066937
-0.034999	-0.081434	108.149715	-0.071373
0.069433	-0.098827	143.210485	-0.071404
0.193619	-0.103872	170.562235	-0.071640
0.271225	-0.088925	179.999865	-0.072399
0.297615	-0.063622	188.727523	-0.072145
0.308485	-0.030019	185.229913	-0.072538
0.273338	0.003770	176.425252	-0.074345
0.180670	0.038194	167.312614	-0.072595
0.069292	0.077000	149.748518	-0.070434
-0.023011	0.133399	134.350770	-0.069520
-0.103596	0.237313	111.752682	-0.063657
-0.180465	0.392841	96.680225	-0.043126
-0.229736	0.536850	79.527722	0.062647
-0.272622	0.572143	45.554031	0.121499
-0.351450	0.440382	-20.323659	0.120307
-0.503029	0.241591	-69.728267	0.126562
-0.579393	0.066413	-91.791413	0.122120
-0.574829	-0.074872	-43.326175	0.112654
-0.385980	-0.188085	10.765857	0.100442
-0.155436	-0.213004	3.090915	0.089853
-0.092177	-0.141441	33.467389	0.075663
0.119291	-0.034516	79.135906	0.067518
0.355043	0.027887	106.530545	0.057347
0.438764	0.023182	138.421970	0.048318
0.528007	-0.025541	156.857116	0.038038
0.577930	-0.088090	156.352556	0.028620
0.510603	-0.169782	140.022887	0.017051
0.353387	-0.257909	137.272250	0.007736
0.214324	-0.316292	143.241847	-0.002976
0.093931	-0.319519	102.286653	-0.013515
-0.087069	-0.282176	78.140879	-0.022622
-0.196960	-0.222846	68.830190	-0.030734
-0.245681	-0.159506	55.048808	-0.042745
-0.318820	-0.106436	59.866708	-0.050463
-0.324124	-0.077147	70.440049	-0.058505
-0.224034	-0.069045	80.806962	-0.064927
-0.101903	-0.076174	97.484357	-0.064969
-0.000469	-0.089291	118.228380	-0.064929
0.122013	-0.096602	158.331345	-0.068558
0.241166	-0.087109	176.976245	-0.067901
0.292662	-0.065330	184.181179	-0.066303
0.309144	-0.032873	192.031744	-0.069042
0.311389	0.002507	186.320511	-0.067168
0.244701	0.036511	175.419978	-0.067880
0.128877	0.065656	163.191465	-0.066190
0.020562	0.105514	142.990465	-0.065078
-0.070683	0.181255	121.434580	-0.058492
-0.163418	0.316456	100.480145	-0.057210
-0.230448	0.467238	84.839886	0.014583
-0.272133	0.561543	62.680308	0.114133
-0.323042	0.506193	5.137890	0.121911
-0.455059	0.332750	-53.644721	0.130592
-0.554846	0.145230	-83.067327	0.124282
-0.576660	-0.004974	-74.718370	0.121659
-0.492974	-0.133262	-6.258961	0.110142
-0.234061	-0.203885	9.574437	0.101218
-0.107312	-0.176418	15.643449	0.083722
0.010905	-0.080380	60.315884	0.076211
0.268166	0.002263	98.106391	0.064770
