MBK	ACC	OVV	EGG
-0.492566	-0.088316	25.032677	0.001593
-0.481060	-0.092703	-78.486710	0.001618
-0.516772	-0.072337	-40.443609	0.001635
-0.425074	-0.036591	-62.241435	0.001540
-0.256739	0.003366	-70.585367	0.001750
-0.180226	0.034574	-11.608953	0.001619
-0.009609	0.051822	32.194395	0.001563
0.197416	0.054013	18.472605	0.001365
0.257868	0.045228	118.656928	0.000890
0.360937	0.026838	143.375547	0.000354
0.465307	0.004401	173.205109	0.000045
0.416426	-0.015793	233.276730	-0.000257
0.387475	-0.026175	234.746501	-0.000910
0.362850	-0.026555	240.183744	-0.001164
0.236276	-0.025201	261.113114	-0.001659
0.132650	-0.024281	244.534619	-0.002058
0.052373	-0.025176	221.804988	-0.002388
-0.073324	-0.031248	215.189181	-0.002665
-0.161005	-0.039384	180.637426	-0.002717
-0.194245	-0.051575	184.827883	-0.002726
-0.230472	-0.065919	163.283467	-0.002683
-0.243353	-0.074265	172.646545	-0.002793
-0.199752	-0.072566	170.298219	-0.002720
-0.140379	-0.062796	192.890782	-0.002666
-0.079844	-0.044756	211.676533	-0.002655
0.015728	-0.023555	243.368468	-0.002729
0.104663	-0.001482	261.115728	-0.002688
0.164105	0.020172	301.186063	-0.002736
0.225460	0.040396	319.008744	-0.002789
0.264784	0.058551	341.628243	-0.002620
0.253134	0.075037	349.333615	-0.002721
0.222070	0.091867	339.010960	-0.002320
0.167256	0.109447	318.990158	0.000242
0.070039	0.106421	279.417690	0.001619
-0.049913	0.070327	224.001904	0.001594
-0.170657	0.020636	158.051019	0.001584
-0.316842	-0.027870	55.913395	0.001595
-0.463324	-0.067577	41.768365	0.001751
-0.480474	-0.091374	11.301257	0.001580
-0.474714	-0.090899	-80.601097	0.001740
-0.513904	-0.066077	-36.453611	0.001629
-0.399012	-0.028559	-68.219416	0.001690
-0.239188	0.011903	-68.526119	0.001736
-0.170578	0.041075	-0.054532	0.001718
0.021855	0.055118	26.951261	0.001511
0.210470	0.055173	23.546101	0.001126
0.258907	0.043875	129.469756	0.000766
0.377191	0.023977	138.590909	0.000103
0.464031	0.001581	183.546659	-0.000256
0.407637	-0.017732	234.148041	-0.000689
0.391332	-0.026080	231.619590	-0.001233
0.353534	-0.026086	239.354392	-0.001503
0.223536	-0.024665	261.526450	-0.002121
0.130977	-0.023867	235.525514	-0.002461
0.049207	-0.024851	221.868340	-0.002626
-0.072971	-0.030738	207.662513	-0.002851
-0.151086	-0.038156	174.175779	-0.002769
-0.185567	-0.050092	181.011271	-0.002630
-0.220428	-0.063562	160.390621	-0.002731
-0.229113	-0.071204	170.643458	-0.002643
-0.182773	-0.069985	167.858331	-0.002741
-0.129496	-0.060070	188.407501	-0.002744
-0.070923	-0.043463	214.126482	-0.002730
0.027203	-0.022107	239.347107	-0.002758
0.108536	0.000473	259.449624	-0.002693
0.164135	0.021789	303.433566	-0.002802
0.233347	0.041072	310.236946	-0.002767
0.260486	0.059040	335.956971	-0.002663
0.244006	0.076034	347.610748	-0.002729
0.226708	0.093729	330.099859	-0.002232
0.166966	0.110333	315.881635	0.000038
0.067960	0.103903	274.716127	0.001471
