MBK	ACC	OVV	EGG
-0.053775	-0.060484	33.729116	-0.055581
0.049366	-0.054611	37.161289	-0.059834
0.149895	-0.046858	42.689480	-0.062073
0.271567	-0.041042	49.174879	-0.062226
0.339541	-0.034584	57.463841	-0.063672
0.371555	-0.029872	66.517272	-0.062232
0.312068	-0.023727	75.796471	-0.062235
0.212852	-0.016894	83.445303	-0.061642
0.059807	-0.008224	88.787208	-0.063141
-0.087024	0.002758	91.748279	-0.063263
-0.210134	0.015212	92.975261	-0.063370
-0.289204	0.031093	92.005507	-0.063356
-0.331585	0.052122	89.352896	-0.066569
-0.343878	0.077770	84.415150	-0.042133
-0.364769	0.102468	77.577250	0.005923
-0.370649	0.114864	68.922925	0.026308
-0.382381	0.112791	59.162017	0.036715
-0.416117	0.100359	46.048688	0.040179
-0.477532	0.081355	29.321931	0.043208
-0.540844	0.058223	10.152164	0.040602
-0.464403	0.032832	-4.864334	0.037520
-0.261723	0.013169	-10.304330	0.034012
0.087405	0.003110	-6.588074	0.030210
0.434757	0.000672	2.944930	0.024920
0.651779	-0.000556	11.931720	0.018244
0.683070	-0.006726	19.187558	0.013053
0.535840	-0.017284	25.537718	0.008871
0.339395	-0.030352	31.462462	0.001918
0.141013	-0.042278	36.773151	-0.004975
0.036232	-0.054128	39.876034	-0.012540
-0.038360	-0.065106	41.527498	-0.018093
-0.060311	-0.073420	42.004850	-0.024645
-0.077060	-0.075215	41.829268	-0.032419
-0.087784	-0.073651	39.969790	-0.038168
-0.094965	-0.070392	36.784688	-0.044336
-0.076358	-0.066706	33.696954	-0.050042
-0.049819	-0.061317	33.119067	-0.052378
0.037170	-0.055763	35.207744	-0.055115
0.139335	-0.048394	40.207850	-0.058541
0.265381	-0.041865	46.243780	-0.059957
0.358101	-0.035985	54.143638	-0.061749
0.404994	-0.030597	62.935573	-0.064380
0.375009	-0.023562	72.012178	-0.063474
0.277143	-0.018364	79.884240	-0.065293
0.143892	-0.011015	86.096028	-0.068096
-0.017299	-0.002578	89.994729	-0.072080
-0.144165	0.009732	91.674922	-0.071892
-0.243066	0.023555	91.591548	-0.072573
-0.293027	0.041382	89.410900	-0.069311
-0.317761	0.063515	85.133005	-0.066343
-0.326662	0.089860	79.074452	-0.019322
-0.337190	0.109805	71.333670	0.013832
-0.330759	0.113509	62.449563	0.025283
-0.352386	0.104523	51.731114	0.034011
-0.395502	0.086760	37.576843	0.037358
-0.480869	0.065853	19.525228	0.036131
-0.488974	0.042053	1.521087	0.034757
-0.350532	0.019440	-8.654213	0.031184
-0.071413	0.005939	-9.054822	0.027099
0.308337	0.001058	-1.208565	0.021157
0.588161	-0.000771	9.045862	0.019643
0.717097	-0.003703	16.760508	0.012335
0.620347	-0.012859	23.179824	0.007943
0.434720	-0.024770	28.621839	0.001648
0.215907	-0.037063	34.207644	-0.003016
0.080327	-0.048894	38.229588	-0.009991
0.012631	-0.060347	40.866584	-0.016527
-0.018502	-0.068973	42.250845	-0.024537
-0.030220	-0.073456	42.585861	-0.029277
-0.058570	-0.073099	41.700139	-0.036693
-0.081531	-0.070337	38.702662	-0.042876
-0.086592	-0.067045	34.983956	-0.047685
-0.061233	-0.063060	33.314833	-0.051308
-0.001268	-0.057272	34.323333	-0.056794
0.108389	-0.050691	38.557702	-0.057863
0.220339	-0.043946	44.192787	-0.061859
0.338821	-0.037807	51.082370	-0.063501
0.393242	-0.031928	59.416995	-0.064351
0.406159	-0.026535	68.197861	-0.064220
0.326935	-0.019565	76.980001	-0.067330
0.218310	-0.013102	83.995458	-0.066701
0.065196	-0.005297	89.235689	-0.068458
-0.071569	0.005331	92.206889	-0.067483
-0.181245	0.019146	93.224316	-0.069921
-0.252123	0.035457	91.826904	-0.067282
-0.284981	0.056958	88.309615	-0.069031
-0.302292	0.082820	82.728089	-0.028854
-0.318496	0.105637	75.551409	0.013619
-0.327502	0.114873	66.819440	0.028067
-0.345312	0.109200	56.567046	0.037760
-0.390493	0.094189	43.002193	0.041645
-0.461285	0.073206	25.691876	0.042189
-0.516219	0.049904	6.430715	0.040599
-0.411285	0.025745	-7.308902	0.036536
-0.190153	0.008904	-11.110072	0.030747
0.189198	0.001418	-5.714992	0.027404
0.521151	0.000020	5.377487	0.022768
0.719235	-0.002025	14.872967	0.016317
0.700169	-0.008675	22.093759	0.011736
0.519512	-0.020319	27.885427	0.004790
0.293922	-0.033122	33.150415	-0.001627
0.100162	-0.045891	37.974412	-0.006104
0.015459	-0.057458	41.057158	-0.015046
-0.039793	-0.066658	43.044071	-0.021310
-0.039399	-0.072576	43.730658	-0.027592
-0.065120	-0.074381	43.020492	-0.035901
-0.083399	-0.071332	40.182904	-0.040525
-0.102752	-0.067925	36.408215	-0.046262
-0.085074	-0.064788	33.663518	-0.051639
-0.051897	-0.059612	33.271139	-0.053920
0.056071	-0.053935	35.889116	-0.057399
0.163962	-0.046787	41.440563	-0.061897
0.301156	-0.039047	48.345239	-0.062265
0.381748	-0.033057	56.849150	-0.064245
0.413650	-0.027561	65.897626	-0.065143
0.355062	-0.022431	74.914264	-0.065418
0.240620	-0.015769	82.289207	-0.065517
0.089295	-0.008739	88.048836	-0.067766
-0.068644	0.000360	91.532139	-0.067453
-0.182228	0.013289	92.984026	-0.070182
-0.266926	0.029334	92.548526	-0.068068
-0.303212	0.049459	90.195312	-0.070224
-0.324028	0.075078	85.584674	-0.045099
-0.338820	0.101585	78.540244	0.003985
-0.356583	0.114116	69.930680	0.021395
-0.368080	0.112872	60.129116	0.030366
-0.413675	0.099787	47.775805	0.035211
-0.471959	0.080779	31.267685	0.036712
-0.550581	0.058691	12.063207	0.035086
-0.483921	0.033049	-4.147633	0.033599
-0.300453	0.013834	-11.095584	0.028216
0.044995	0.004163	-8.238683	0.024135
0.412750	0.001795	1.727651	0.019366
0.649384	0.000134	11.464032	0.015704
0.707175	-0.005123	19.221621	0.008931
0.546970	-0.016442	25.451298	0.003781
0.336091	-0.029930	30.557822	-0.002058
0.110417	-0.041515	35.685566	-0.008522
0.013762	-0.053478	39.425699	-0.015880
-0.052828	-0.064695	42.016725	-0.022206
-0.052684	-0.072025	43.127185	-0.029311
-0.075058	-0.074564	43.110878	-0.036509
-0.094893	-0.073773	40.772527	-0.041320
-0.119956	-0.070494	37.340516	-0.047685
-0.109315	-0.067069	34.083756	-0.053232
-0.086809	-0.061467	33.239734	-0.056373
0.001799	-0.055755	35.214469	-0.059193
0.109638	-0.048833	40.175285	-0.061629
0.232855	-0.041445	46.441801	-0.062446
0.335375	-0.034384	54.315754	-0.063880
0.371192	-0.028133	62.965792	-0.065820
0.350047	-0.021628	72.035222	-0.065416
0.246070	-0.014927	80.390932	-0.065492
0.119901	-0.008205	86.935285	-0.066358
-0.051308	0.001045	91.112048	-0.066570
-0.176322	0.012493	93.079505	-0.069083
-0.287847	0.027764	92.775297	-0.067153
-0.334041	0.046114	90.115850	-0.070522
-0.355583	0.070447	86.044867	-0.057786
-0.355569	0.095844	80.176412	-0.006232
-0.373889	0.111893	71.796891	0.017344
-0.379619	0.113639	62.176101	0.030855
-0.424790	0.103373	50.582353	0.036211
-0.477656	0.084718	34.016118	0.039685
-0.550758	0.062832	16.271437	0.040024
-0.516959	0.039268	-0.693638	0.039270
-0.357490	0.017818	-9.728280	0.035946
-0.064281	0.005846	-9.595748	0.032400
0.312048	0.000628	-0.888850	0.028756
0.568256	-0.000151	9.486885	0.025053
0.689179	-0.005322	18.353476	0.017544
0.570972	-0.014158	24.925002	0.012628
0.374757	-0.026662	29.988894	0.006567
0.136827	-0.038845	34.523891	-0.000766
0.007848	-0.051265	38.695714	-0.008311
-0.068938	-0.062019	42.019287	-0.015061
-0.074887	-0.070071	43.232697	-0.023619
-0.081115	-0.073567	43.414471	-0.029122
-0.098815	-0.072821	41.625587	-0.035860
-0.117374	-0.069411	38.750218	-0.042728
-0.123196	-0.066134	35.201817	-0.047296
-0.112486	-0.062154	33.259616	-0.052482
-0.052870	-0.056910	33.720202	-0.054786
0.055646	-0.049837	37.663435	-0.057462
0.175591	-0.042324	43.661198	-0.061020
0.306505	-0.036568	51.530077	-0.061362
0.359779	-0.030637	60.476082	-0.062488
0.364599	-0.024465	69.134320	-0.062448
0.267097	-0.018257	77.155776	-0.065232
0.148773	-0.012303	83.690093	-0.064707
-0.017630	-0.003720	88.534786	-0.066453
-0.140190	0.006004	91.431561	-0.066372
-0.248584	0.019399	92.317998	-0.068816
-0.301779	0.036238	90.793925	-0.067787
-0.330104	0.057097	87.440217	-0.068435
-0.339016	0.083552	82.249594	-0.031306
-0.353018	0.105573	75.150458	0.011936
-0.357506	0.114140	66.535565	0.027619
-0.385842	0.108379	56.128816	0.035019
-0.430647	0.092537	42.689750	0.038311
-0.505709	0.071958	26.042091	0.040375
-0.554709	0.048627	7.396718	0.038589
-0.451572	0.024675	-6.128348	0.034429
-0.234469	0.008186	-10.371441	0.030318
0.137321	0.001095	-5.529302	0.023809
0.465193	-0.001303	5.122321	0.016253
0.673504	-0.003327	14.399413	0.012694
0.659609	-0.010074	21.803976	0.006739
0.495591	-0.022020	27.226971	0.000962
0.268379	-0.033967	31.999375	-0.003711
0.084155	-0.045930	36.369977	-0.011939
0.010246	-0.057418	40.055220	-0.019113
-0.028395	-0.067010	42.646838	-0.024893
-0.017458	-0.073677	43.779127	-0.032633
-0.042739	-0.073544	43.330146	-0.037904
-0.069871	-0.071166	40.802089	-0.044711
-0.103330	-0.068116	36.956162	-0.049716
-0.096174	-0.064132	34.315970	-0.055442
-0.071145	-0.059148	33.697866	-0.057488
0.030911	-0.053256	36.207393	-0.060821
0.138136	-0.046094	41.140919	-0.063216
0.275220	-0.039959	47.611154	-0.065511
0.359636	-0.033057	55.674830	-0.066047
0.403262	-0.027474	64.205706	-0.064827
0.357559	-0.020882	73.322244	-0.066422
0.261494	-0.014289	81.057509	-0.067518
0.117678	-0.007584	87.305456	-0.067229
-0.037267	0.002408	91.368836	-0.067698
-0.160466	0.014322	92.984596	-0.069524
-0.252569	0.029417	92.207369	-0.068756
-0.294017	0.047835	89.282645	-0.070725
-0.313565	0.070915	84.826197	-0.051480
-0.320513	0.095564	78.458865	0.000762
-0.334260	0.108905	70.170124	0.023609
-0.338832	0.109073	60.520824	0.033532
-0.376429	0.097013	48.565289	0.038160
-0.421347	0.078088	33.362970	0.040751
-0.490002	0.056961	15.338323	0.040467
-0.445193	0.033184	-0.834999	0.036831
-0.282357	0.013412	-8.885724	0.032634
0.021605	0.002678	-7.768078	0.029048
0.386255	-0.001348	1.395043	0.024235
0.639524	-0.002176	12.070743	0.020653
0.732385	-0.007454	20.589194	0.013212
0.597109	-0.017093	26.917872	0.008178
0.387991	-0.028998	31.178061	0.003419
0.147343	-0.040624	35.304241	-0.002068
0.033642	-0.052518	38.776166	-0.006490
-0.019782	-0.063014	41.670772	-0.014595
-0.010045	-0.071241	43.329031	-0.021568
-0.007486	-0.074020	43.691313	-0.026905
-0.026243	-0.072640	41.907807	-0.034309
-0.058438	-0.068793	38.541143	-0.039905
-0.068003	-0.065213	35.017119	-0.046435
-0.056108	-0.060464	33.637769	-0.050919
0.015963	-0.055440	34.950898	-0.053499
0.129982	-0.049080	39.671683	-0.054818
0.250083	-0.040904	45.792437	-0.058415
0.364492	-0.034791	53.528532	-0.059180
0.408237	-0.028357	62.258700	-0.060097
0.397911	-0.022201	71.109868	-0.061276
0.299092	-0.016030	79.185194	-0.062849
0.178312	-0.008763	85.740105	-0.062280
0.018298	-0.000813	90.324788	-0.063388
-0.103772	0.009868	92.645787	-0.063368
-0.202773	0.023301	92.930480	-0.065518
-0.251631	0.040776	91.115711	-0.065136
-0.272515	0.061993	87.190633	-0.063899
-0.280201	0.087565	81.545076	-0.017648
-0.294660	0.107764	73.867117	0.018148
-0.301243	0.111680	64.921627	0.031506
-0.331994	0.102868	54.506628	0.040310
-0.380269	0.086919	40.872858	0.042302
-0.456585	0.066399	23.854170	0.043742
-0.484002	0.042414	5.994461	0.040996
-0.364463	0.019655	-5.662235	0.039246
-0.132337	0.005408	-8.301058	0.033351
0.241301	-0.000359	-2.142775	0.030890
0.544108	-0.001549	8.625680	0.024141
0.724644	-0.005149	17.916138	0.019910
0.673767	-0.013636	25.122362	0.014215
0.490827	-0.024258	30.072225	0.007778
0.252640	-0.036430	34.027250	0.001301
0.083339	-0.048607	37.697552	-0.004893
0.017780	-0.059597	40.985034	-0.012704
-0.001055	-0.068318	43.385629	-0.022506
0.019727	-0.073314	44.638433	-0.030907
-0.002234	-0.072982	43.827281	-0.037591
-0.035306	-0.070320	41.037072	-0.042645
-0.071841	-0.066855	37.302923	-0.047938
-0.074267	-0.062732	34.613333	-0.052296
-0.043935	-0.057355	34.263083	-0.056369
0.065598	-0.051119	37.568058	-0.058805
0.177158	-0.043882	43.036413	-0.060221
0.316033	-0.036887	50.124035	-0.061272
0.386531	-0.030148	58.605885	-0.064451
0.407082	-0.025103	67.114992	-0.065719
0.336278	-0.018485	75.487727	-0.065284
0.226214	-0.011726	82.648815	-0.066474
0.076140	-0.004214	88.176585	-0.067543
-0.063645	0.005402	91.585346	-0.067172
-0.169786	0.017526	93.040387	-0.068366
-0.243292	0.032773	92.276835	-0.066261
-0.275586	0.051895	89.336978	-0.069565
-0.295522	0.076122	84.304280	-0.040666
-0.311470	0.098340	77.390431	0.007955
-0.331468	0.108436	68.700036	0.024759
-0.346439	0.104737	58.945218	0.035879
-0.390847	0.091340	46.730104	0.039953
-0.442770	0.072501	31.106924	0.043017
-0.497335	0.050765	13.382326	0.039976
-0.422787	0.027128	-1.205176	0.038407
-0.246835	0.009039	-7.420519	0.035246
0.077194	0.000667	-4.927760	0.028887
0.406608	-0.001631	4.527034	0.025830
0.633463	-0.004304	14.594857	0.022224
0.680049	-0.010581	23.002953	0.014670
0.535438	-0.020463	28.882553	0.009276
0.323691	-0.032273	33.172691	0.001306
0.109691	-0.044198	37.005356	-0.003768
0.012460	-0.055676	40.069476	-0.012291
-0.035155	-0.065806	42.823194	-0.016933
-0.014598	-0.072252	44.449562	-0.026882
-0.022744	-0.074016	44.637580	-0.033281
-0.040358	-0.071405	42.715413	-0.038150
-0.081263	-0.068763	39.369715	-0.045180
-0.098853	-0.064468	36.064443	-0.047319
-0.095518	-0.059653	35.106364	-0.050951
-0.017953	-0.054213	36.816097	-0.055533
0.084495	-0.046012	41.355016	-0.056114
0.219349	-0.039720	47.806372	-0.057602
0.320867	-0.033072	56.057583	-0.058419
0.364332	-0.026896	64.477358	-0.058276
0.334536	-0.020285	72.947472	-0.060673
0.234386	-0.014426	80.297128	-0.061413
0.105916	-0.007914	86.548077	-0.063694
-0.044767	0.001610	90.638012	-0.065201
-0.152561	0.012535	92.933946	-0.066403
-0.239693	0.026195	92.918128	-0.065615
