MBK	ACC	OVV	EGG
-0.097783	0.328571	11.117269	0.108860
-0.286917	0.294422	-14.561121	0.130957
-0.485555	0.237520	-42.438127	0.146886
-0.601988	0.172446	-56.217732	0.157164
-0.678975	0.111984	-23.811153	0.160850
-0.770596	0.057121	35.688142	0.170252
-0.668683	0.011973	77.848375	0.163549
-0.281392	-0.013094	83.059327	0.152292
0.157986	-0.019473	63.648826	0.132441
0.429101	-0.005896	45.800594	0.112586
0.437734	0.014178	34.713770	0.091646
0.347026	0.024829	21.455865	0.069362
0.285536	0.025494	13.228129	0.047386
0.156059	0.018666	14.180462	0.032465
0.003776	0.011871	26.102720	0.018840
-0.086787	0.000734	45.008881	0.006321
-0.119129	-0.017436	65.189065	-0.004803
-0.067175	-0.042280	74.612490	-0.017254
0.019888	-0.068161	76.144800	-0.030938
0.124926	-0.097109	77.082960	-0.043535
0.223399	-0.122863	77.559167	-0.053098
0.256003	-0.138986	77.162054	-0.061619
0.263551	-0.146536	72.113992	-0.066030
0.256267	-0.146696	72.990319	-0.070672
0.203819	-0.145405	80.932668	-0.074315
0.180269	-0.140410	95.220332	-0.080123
0.198531	-0.131958	107.357720	-0.084119
0.259009	-0.120661	114.799874	-0.090951
0.333651	-0.112726	119.808895	-0.094513
0.321046	-0.116968	124.058417	-0.100959
0.264700	-0.124000	124.652081	-0.103041
0.191919	-0.120003	123.645119	-0.107912
0.101554	-0.112294	123.876175	-0.107900
0.033807	-0.098923	128.648621	-0.110593
0.000603	-0.081674	124.241569	-0.107526
0.025710	-0.056999	118.888809	-0.109342
0.064719	-0.017390	115.330495	-0.102609
0.028988	0.040396	116.132810	-0.102263
0.002486	0.108667	116.547687	-0.090513
-0.010960	0.169079	107.068807	-0.095384
-0.002141	0.233150	82.580173	-0.020784
-0.021791	0.299468	45.556932	0.079356
-0.136741	0.322949	14.785039	0.106460
-0.316791	0.292248	-7.339816	0.128637
-0.498110	0.238568	-36.545812	0.143720
-0.587610	0.175164	-58.981341	0.155072
-0.645575	0.112769	-27.960156	0.166740
-0.756653	0.054965	30.286456	0.172084
-0.683599	0.013060	75.723287	0.162446
-0.304228	-0.008802	82.243252	0.150599
0.109988	-0.016369	70.032036	0.131774
0.401392	-0.007161	46.672610	0.112960
0.442953	0.011081	32.608181	0.090992
0.382715	0.022661	19.129485	0.069705
0.307398	0.025746	13.511002	0.045664
0.147154	0.021600	17.628320	0.030069
-0.007163	0.010374	26.522095	0.016358
-0.067368	-0.004223	42.705240	0.003294
-0.093241	-0.022982	61.290699	-0.007487
-0.045405	-0.045387	73.962833	-0.020914
0.015221	-0.071333	77.579625	-0.032341
0.093324	-0.099262	78.314450	-0.045757
0.205693	-0.122319	77.885348	-0.056099
0.263341	-0.141188	80.229704	-0.063430
0.275166	-0.150991	77.118969	-0.068309
0.255314	-0.151268	74.266957	-0.072667
0.203343	-0.146489	79.112451	-0.075190
0.175636	-0.139568	95.609948	-0.081758
0.183755	-0.132158	108.670133	-0.086757
0.251470	-0.125111	116.514280	-0.092067
0.351124	-0.118196	118.967440	-0.096230
0.339101	-0.115434	122.690563	-0.102095
0.256525	-0.114748	126.539971	-0.103969
0.160165	-0.115069	127.684327	-0.107675
0.073666	-0.111567	124.860487	-0.106523
